json_size json_time json_classic_size json_classic_time json_scannerless_size json_scannerless_time json_unbounded_size json_unbounded_time json_unbounded_scannerless_size json_unbounded_scannerless_time pascal_size pascal_time pascal_classic_size pascal_classic_time pascal_scannerless_size pascal_scannerless_time pascal_unbounded_size pascal_unbounded_time pascal_unbounded_scannerless_size pascal_unbounded_scannerless_time c_size c_time c_classic_size c_classic_time c_scannerless_size c_scannerless_time c_unbounded_size c_unbounded_time c_unbounded_scannerless_size c_unbounded_scannerless_time fortran_size fortran_time fortran_classic_size fortran_classic_time fortran_scannerless_size fortran_scannerless_time fortran_unbounded_size fortran_unbounded_time fortran_unbounded_scannerless_size fortran_unbounded_scannerless_time cobol_size cobol_time cobol_classic_size cobol_classic_time cobol_scannerless_size cobol_scannerless_time cobol_unbounded_size cobol_unbounded_time cobol_unbounded_scannerless_size cobol_unbounded_scannerless_time
300.889 0.7131711000000001 300.889 0.20186129999999997 300.889 3.4817960999999995 300.889 0.7037665 300.889 1.8818391 300.361 3.4890289 300.361 2.1394126 300.361 6.3765028 320.992 4.183471 300.361 4.5063705999999994 300.375 3.9220260000000002 300.375 1.5868195999999999 300.375 7.2476516 300.375 3.7185856999999998 300.375 4.5190088 300.389 4.9009877 300.389 2.4415009999999997 300.389 8.423873799999999 300.389 4.4651093 300.389 5.0909005 300.812 2.9375267999999997 300.812 0.984059 300.812 9.0650762 nan nan 300.812 5.7557048
311.133 0.7335147 311.133 0.20800939999999998 311.133 3.5705478999999998 311.133 0.7269140000000001 311.133 1.9221882000000001 310.419 3.7106141999999998 310.419 2.4148464 310.419 7.014281800000001 341.045 3.8466551000000004 310.419 4.7747326 311.186 4.040797700000001 311.186 1.6447987000000002 311.186 7.499382300000001 311.186 3.8190379 311.186 4.6792456 310.497 5.0562741 310.497 2.5278812000000004 310.497 8.727416100000001 310.497 4.6005265 310.497 5.2576194 310.374 3.1888549 310.374 1.0707036 310.374 12.651807999999999 nan nan 310.374 9.3168285
320.901 0.7621195000000001 320.901 0.2166324 320.901 3.6846572 320.901 0.7576422 320.901 1.9943089 320.992 3.7760889 320.992 2.4260121 320.992 7.1569841 360.588 3.7654866 320.992 4.8589786 320.872 4.1674124 320.872 1.6989881 320.872 7.715536900000001 320.872 3.9452728 320.872 4.804856 321.118 5.267468 321.118 2.6475908 321.118 9.076537400000001 321.118 4.8332374 321.118 5.4685091 320.897 4.0159143 320.897 1.4351658999999999 320.897 11.6917685 nan nan 320.897 8.5608933
331.186 0.7710521 331.186 0.21929349999999997 331.186 3.7822251000000002 331.186 0.7660753 331.186 2.0507944 330.399 3.9190089 330.399 2.5364797 330.399 7.408879799999999 381.325 7.239496099999999 330.399 5.033621699999999 330.711 4.3352599 330.711 1.7666057 330.711 7.9208845 330.711 4.1044435 330.711 5.2025051 330.438 5.3821460000000005 330.438 2.715106 330.438 9.379480599999999 330.438 4.9278055 330.438 5.6517427 330.988 3.8379728999999996 330.988 1.3345551 330.988 11.9320254 nan nan 330.988 8.904575699999999
341.207 0.7997251000000001 341.207 0.22790970000000002 341.207 3.889684 341.207 0.7926531 341.207 2.1201396 341.045 4.0608985 341.045 2.6223355 341.045 7.693561700000001 391.048 4.5627039 341.045 5.2056616 341.313 4.4988867 341.313 1.8640754999999998 341.313 8.643061900000001 341.313 4.5496195 341.313 5.4035129 340.834 5.510343000000001 340.834 2.7804393000000003 340.834 9.5233116 340.834 5.0507611 340.834 5.794184700000001 340.383 3.807391 340.383 1.3262964 340.383 11.029479 nan nan 340.383 7.645269000000001
351.272 0.8370895 351.272 0.2380912 351.272 4.0030521 351.272 0.8855226999999999 351.272 2.1917112 350.958 4.392360999999999 350.958 2.6897243 350.958 7.869231399999999 401.103 4.3766382 350.958 5.3506437 351.339 4.5832926 351.339 1.8931371 351.339 8.8563064 351.339 4.6431397 351.339 5.5194662999999995 350.62 5.6215022 350.62 2.8493738 350.62 9.7574363 350.62 5.1747228 350.62 5.9033672 350.764 3.6789132 350.764 1.2603213 350.764 15.441478899999998 nan nan 350.764 11.884941000000001
360.436 0.8223566 360.436 0.2352789 360.436 4.074609000000001 360.436 0.8670723 360.436 2.2203337000000003 360.588 3.8864885 360.588 2.4917301000000003 360.588 7.7250388999999995 410.59 4.5404953 360.588 5.1155035 360.639 4.6735335 360.639 1.9246839999999998 360.639 8.9938359 360.639 4.736603499999999 360.639 5.6502378 360.924 5.8084539 360.924 2.9637805 360.924 10.0825965 360.924 5.7542662 360.924 6.1513108 360.957 3.9595666 360.957 1.326796 360.957 10.931027400000001 nan nan 360.957 7.703595699999999
370.748 0.8349918000000001 370.748 0.23755259999999997 370.748 4.1866508 370.748 0.877031 370.748 2.3617058999999996 370.572 4.5575980000000005 370.572 2.7879819 370.572 8.2131124 431.273 12.2113628 370.572 5.5401294 371.257 4.8071812000000005 371.257 1.976582 371.257 9.2170075 371.257 4.8725769 371.257 5.8259671 370.46 5.9912835 370.46 3.0227068 370.46 10.310728899999999 370.46 5.8159456 370.46 6.2263101999999995 371.261 9.002616 371.261 6.156568099999999 380.445 11.5254768 nan nan 380.445 7.2448801000000005
380.411 0.8599201000000001 380.411 0.24791080000000001 380.411 4.5119381 380.411 0.9110862 380.411 2.4431713000000004 381.325 4.7388902999999996 381.325 2.8900234 381.325 8.417235600000001 461.068 30.3672004 381.325 5.8231656 380.822 4.9650657 380.822 2.0373317 380.822 9.5602655 380.822 5.0030483 380.822 5.955709199999999 380.811 6.1725769999999995 380.811 3.1087848 380.811 10.6563587 380.811 5.9908422 380.811 6.744573 380.445 3.9628636999999998 380.445 1.2882818999999999 390.736 15.003207399999999 nan nan 390.736 11.5277625
390.849 0.9576079999999999 390.849 0.2713757 390.849 4.622292 390.849 0.9419533 390.849 2.5074879 391.048 4.8714432 391.048 2.9624742 391.048 8.651245300000001 470.967 6.9294707 391.048 6.2208387 390.558 5.0404174 390.558 2.2053624 390.558 9.7602654 390.558 5.0811849 390.558 6.1083191 390.895 6.3235494 390.895 3.2144478 390.895 11.5022232 390.895 6.1750711 390.895 6.9483421 390.736 4.5386114 390.736 1.5518808 400.861 11.485155 nan nan 400.861 7.2349182999999995
401.049 0.9582153 401.049 0.26954259999999997 401.049 4.7111728 401.049 0.9442054000000001 401.049 2.5534412 401.103 4.9210986 401.103 3.0156437 401.103 8.827263499999999 480.589 5.0081159 401.103 6.3173026 400.872 5.1551783 400.872 2.2602292999999998 400.872 10.0126048 400.872 5.2144005 400.872 6.243961799999999 400.407 6.3731215 400.407 3.2696899999999998 400.407 11.6966883 400.407 6.2580981 400.407 7.0486065 400.861 4.047815699999999 400.861 1.3386692 411.348 12.834868199999999 nan nan 411.348 9.649776
410.621 1.0025784999999998 410.621 0.2818461 410.621 4.845004 410.621 0.9840711000000001 410.621 2.6366988 410.59 4.9341773 410.59 3.0110354999999998 410.59 8.9474319 491.005 5.399877 410.59 6.3739276 410.482 5.262187 410.482 2.3089836 410.482 10.1669549 410.482 5.2821805 410.482 6.3524594 410.99 6.554615200000001 410.99 3.3736696000000004 410.99 12.1192362 410.99 6.4571155000000005 410.99 7.3093187 411.348 5.0009961 411.348 1.7146994 420.552 12.2109469 nan nan 420.552 7.5654268
420.427 1.0283868 420.427 0.2917419 420.427 4.9394896 420.427 1.0184148 420.427 2.6934044 420.935 5.0499002 420.935 3.0781359 420.935 9.1918999 500.762 24.7095236 420.935 6.483948700000001 420.865 5.3857282 420.865 2.3786926 420.865 10.377566300000002 420.865 5.4760140999999996 420.865 6.5441136 420.753 6.6923537 420.753 3.6552233999999997 420.753 12.1739161 420.753 6.5681745000000005 420.753 7.496955300000001 420.552 4.0460858 420.552 1.3357874 430.747 16.3332999 nan nan 430.747 11.410422
431.143 1.0287456000000001 431.143 0.2923714 431.143 5.0264454 431.143 1.0144711 431.143 2.7047717 431.273 5.2477782 431.273 3.2180881999999995 431.273 9.4129003 521.108 13.0015617 431.273 6.723295500000001 430.961 5.910849499999999 430.961 2.4598058000000003 430.961 10.7276514 430.961 5.6524366 430.961 6.6790655 430.705 6.886288 430.705 3.757884 430.705 12.5211488 430.705 6.7513535000000005 430.705 7.615419900000001 430.747 4.9789533 430.747 1.6635711999999998 441.381 28.5840749 nan nan 441.381 22.6318213
440.683 1.064156 440.683 0.3031803 440.683 5.1448747 440.683 1.0521205999999999 440.683 2.8071471 440.494 5.424832 440.494 3.5153545999999998 440.494 9.6957589 531.19 5.9541632 440.494 7.0214268 441.177 6.0102592999999995 441.177 2.5017211 441.177 10.9690709 441.177 5.697630800000001 441.177 6.8194727 440.591 7.019309300000001 440.591 3.8399076 440.591 12.7151727 440.591 6.8725933 440.591 7.7665386 441.381 5.1540805999999995 441.381 1.7474471999999999 450.851 12.778098400000001 nan nan 450.851 8.2967725
